Unnamed: 0,link,text,user,likes,quotes,retweets,comments,cleaned_text
12,https://twitter.com/Tesla/status/1800612353932722458#m,"Rundown of what we have achieved since 2018 – under @elonmusk's leadership – 2018 – Hit 5k Model 3/week – Model 3 becomes best-selling EV in the US – Giga Nevada reached annual battery production rate of 20 GWh – Launched Navigate on Autopilot – Model 3 becomes the best-selling EV globally  2019 – First deliveries of Model 3 to Europe & China – Unveiled Model Y – Unveiled Cybertruck – Gigafactory Shanghai begins production – just 11 months after breaking ground – Delivered >367k vehicles globally – Energy storage surpasses 3.2 GWh deployed globally cumulatively, with 1.65 GWh deployed that year – Solar Roof V3 launched – 4k+ new Supercharger stalls installed  2020 – 4680 cell announced at Battery Day – Tesla becomes most valuable carmaker (>$400 billion market cap) – Achieved full-year profitability for the first time in company history – Almost 500k vehicles delivered globally – 3.02 GWh of energy storage deployed – Model Y production begins at Fremont – Giga Shanghai reaches 250k annual production rate – Launched FSD Beta – Supercharger network expands to over 23k stalls – Model 3 becomes world's best-selling premium sedan in Q4  2021 – Delivered >930k vehicles globally – Energy storage deployments reached 3.99 GWh – Achieved record annual revenue of $53.8 billion & record annual profit of $5.5 billion – Unveiled Optimus – Launched new Model S & X – 1 millionth Model 3 produced – Started opening global Supercharger network to all EVs – 30k+ Supercharger stalls operational worldwide  2022 – Started Model Y deliveries at Giga Berlin & Giga Texas – Record >1.3 million vehicles delivered that year – Produced 1 millionth 4680 cell – First production Semi trucks delivered to PepsiCo. – Enabled anyone in the US & Canada who has purchased FSD to request FSD Beta – Model S Plaid sets production car lap record at Nürburgring – Over 16 GWh of energy storage deployed cumulatively – Over 40k Supercharger stalls worldwide – Tesla Insurance expands to multiple US states  2023 – Model Y becomes world's bestselling car – 1 million Tesla vehicles on the road in Europe – 20 millionth 4680 cell produced – 5k/builds production rate hit at Giga Berlin & Giga Texas – Giga Shanghai reaches production capacity – 12k+ new Supercharger stalls opened – Tesla charging connector adopted as NACS – Powerwall installations started in 4 new countries & 500k installations completed globally – Launched Powerwall 3 – Upgraded Model 3 launched in Europe & Asia – First deliveries of @Cybertruck – Energy storage deployments surpass 31 GWh cumulative – Optimus Gen 2 unveiled – 50k+ Supercharger stalls operational globally – Launched V4 Supercharger posts  2024 – FSD Supervised using end-to-end neural networks rolls out to customers who have purchased or are subscribed to FSD in the US & Canada – Upgraded Model 3 deliveries start in North America – Hit 600k Powerwalls installed globally – Model Y achieves highest possible safety rating by IIHS – Produced our 6 millionth vehicle – Hit >1 billion miles driven on FSD – Cybertruck production hits 1k/week builds – 4680 ramp continues successfully – Developed 3 major design revisions of Optimus & 4 revisions of the hand in the last two years, with Optimus autonomously navigating daily in our office & labs – Deployed two Optimus bots performing tasks in the factory autonomously (and it's only June...) :)   To be continued!",Tesla,13720,512,2812,1088,Rundown achieved since 2018 elonmusks leadership 2018 Hit 5k Model 3week Model 3 becomes bestselling EV US Giga Nevada reached annual battery production rate 20 GWh Launched Navigate Autopilot Model 3 becomes bestselling EV globally 2019 First delivery Model 3 Europe China Unveiled Model Unveiled Cybertruck Gigafactory Shanghai begin production 11 month breaking ground Delivered 367k vehicle globally Energy storage surpasses 32 GWh deployed globally cumulatively 165 GWh deployed year Solar Roof V3 launched 4k new Supercharger stall installed 2020 4680 cell announced Battery Day Tesla becomes valuable carmaker 400 billion market cap Achieved fullyear profitability first time company history Almost 500k vehicle delivered globally 302 GWh energy storage deployed Model production begin Fremont Giga Shanghai reach 250k annual production rate Launched FSD Beta Supercharger network expands 23k stall Model 3 becomes world bestselling premium sedan Q4 2021 Delivered 930k vehicle globally Energy storage deployment reached 399 GWh Achieved record annual revenue 538 billion record annual profit 55 billion Unveiled Optimus Launched new Model X 1 millionth Model 3 produced Started opening global Supercharger network EVs 30k Supercharger stall operational worldwide 2022 Started Model delivery Giga Berlin Giga Texas Record 13 million vehicle delivered year Produced 1 millionth 4680 cell First production Semi truck delivered PepsiCo Enabled anyone US Canada purchased FSD request FSD Beta Model Plaid set production car lap record Nürburgring 16 GWh energy storage deployed cumulatively 40k Supercharger stall worldwide Tesla Insurance expands multiple US state 2023 Model becomes world bestselling car 1 million Tesla vehicle road Europe 20 millionth 4680 cell produced 5kbuilds production rate hit Giga Berlin Giga Texas Giga Shanghai reach production capacity 12k new Supercharger stall opened Tesla charging connector adopted NACS Powerwall installation started 4 new country 500k installation completed globally Launched Powerwall 3 Upgraded Model 3 launched Europe Asia First delivery Cybertruck Energy storage deployment surpass 31 GWh cumulative Optimus Gen 2 unveiled 50k Supercharger stall operational globally Launched V4 Supercharger post 2024 FSD Supervised using endtoend neural network roll customer purchased subscribed FSD US Canada Upgraded Model 3 delivery start North America Hit 600k Powerwalls installed globally Model achieves highest possible safety rating IIHS Produced 6 millionth vehicle Hit 1 billion mile driven FSD Cybertruck production hit 1kweek build 4680 ramp continues successfully Developed 3 major design revision Optimus 4 revision hand last two year Optimus autonomously navigating daily office lab Deployed two Optimus bot performing task factory autonomously June continued
13,https://twitter.com/elonmusk/status/1800603619236192421#m,Cool :),Elon Musk,44271,153,4394,2691,Cool
14,https://twitter.com/elonmusk/status/1800601849973576068#m,Important to allow people to like posts without getting attacked for doing so!,Elon Musk,148426,3045,13274,14046,Important allow people like post without getting attacked
15,https://twitter.com/MarioNawfal/status/1800471718504636536#m,Trying to debate with trolls on X,Mario Nawfal,11526,231,1584,955,Trying debate troll X
16,https://twitter.com/elonmusk/status/1800537041022898430#m,Please take a moment to vote,Elon Musk,34209,327,4842,4015,Please take moment vote
17,https://twitter.com/elon_docs/status/1800280229283258546#m,Elon Musk's warning against ChatGPT: An AI trained to lie is extremely dangerous.,ELON DOCS,19147,369,4080,1311,Elon Musks warning ChatGPT AI trained lie extremely dangerous
18,https://twitter.com/elonmusk/status/1800514410227904589#m,…,Elon Musk,59376,303,9585,3258,
19,https://twitter.com/elonmusk/status/1800287174065115424#m,Exactly!,Elon Musk,113605,468,17061,4442,Exactly
20,https://twitter.com/elonmusk/status/1800282625434849432#m,Here’s the problem with “agreeing” to share your data: nobody actually reads the terms & conditions https://www.cc.com/video/e48ddg/south-park-i-agreed-by-accident,Elon Musk,122472,1207,18817,7986,Heres problem agreeing share data nobody actually read term condition
21,https://twitter.com/elonmusk/status/1800274139162485165#m,Now imagine if an AI trained in this way grows in power immensely,Elon Musk,166105,1566,23271,9557,imagine AI trained way grows power immensely
22,https://twitter.com/elonmusk/status/1800272349134279011#m,,Elon Musk,764810,5467,70119,31204,
23,https://twitter.com/elonmusk/status/1800269249912381773#m,"It’s patently absurd that Apple isn’t smart enough to make their own AI, yet is somehow capable of ensuring that OpenAI will protect your security & privacy!  Apple has no clue what’s actually going on once they hand your data over to OpenAI. They’re selling you down the river.",Elon Musk,293229,5196,45949,18027,patently absurd Apple isnt smart enough make AI yet somehow capable ensuring OpenAI protect security privacy Apple clue whats actually going hand data OpenAI Theyre selling river
24,https://twitter.com/elonmusk/status/1800265938694193183#m,"And visitors will have to check their Apple devices at the door, where they will be stored in a Faraday cage",Elon Musk,82847,876,6210,3137,visitor check Apple device door stored Faraday cage
25,https://twitter.com/elonmusk/status/1800265431078551973#m,"If Apple integrates OpenAI at the OS level, then Apple devices will be banned at my companies. That is an unacceptable security violation.",Elon Musk,564827,13401,74225,28764,Apple integrates OpenAI OS level Apple device banned company unacceptable security violation
26,https://twitter.com/elonmusk/status/1800140327015329924#m,,Elon Musk,117195,964,11315,6117,
27,https://twitter.com/elonmusk/status/1800121852905623750#m,How time flies,Elon Musk,117934,413,12187,4917,time fly
28,https://twitter.com/cyb3rgam3r420/status/1799935298803208282#m,Testing X Streaming & Starlink https://twitter.com/i/broadcasts/1YpJkwgbQQdJj,Gamer,9124,259,1647,1069,Testing X Streaming Starlink
29,https://twitter.com/elonmusk/status/1800032983270735979#m,,Elon Musk,202517,781,20877,6365,
