link,text,username,user,likes,quotes,retweets,comments
https://twitter.com/geoffreyhinton/status/1436444569164521476#m,"Canadian politicians are talking about setting up a Canadian DARPA. Tying precious research dollars to military applications is not an efficient way to innovate and will lead to obscenities like the self-healing minefield. Encourage start-ups, not the military industrial complex.",geoffreyhinton,Geoffrey Hinton,1920,27,225,41
https://twitter.com/geoffreyhinton/status/1408822677545099275#m,A common argument against taking inspiration from the brain when designing neural networks is that it's like taking inspiration from feathers when designing flying machines.  Drones need blades that will not damage things they hit and can be easily repaired with a quick preen.,geoffreyhinton,Geoffrey Hinton,1099,14,149,36
https://twitter.com/geoffreyhinton/status/1404458382686359558#m,Canada prides itself on being a more caring society than the US and is publicly apologetic about its past abuses. So why is it ignoring current torture in its prisons? https://ottawacitizen.com/opinion/doob-and-sprott-trudeau-should-not-tolerate-the-torture-of-prisoners-in-canada,geoffreyhinton,Geoffrey Hinton,183,3,31,11
https://twitter.com/geoffreyhinton/status/1402300077406928897#m,I am excited to support @raquelutrasun as she begins her next chapter with @waabi_ai. She has been an AI pioneer for the last 20 years and will bring new thinking to an incredibly important space.,geoffreyhinton,Geoffrey Hinton,525,3,31,6
https://twitter.com/MIT_CSAIL/status/1367542860782825472#m,Describe coding in exactly six words.  We’ll RT all the best ones.  From the folks @StackOverflow:  Build. Deploy. Test. Debug. Debug. Debug.  #CodingIn6Words #ThursdayThoughts,geoffreyhinton,MIT CSAIL,595,169,147,521
https://twitter.com/geoffreyhinton/status/1365311399287808002#m,I have a new paper on how to represent part-whole hierarchies in neural networks.   arxiv.org/abs/2102.12627,geoffreyhinton,Geoffrey Hinton,2997,51,615,46
https://twitter.com/geoffreyhinton/status/1337074521585618944#m,"Finding the natural parts of an object and their intrinsic coordinate frames without supervision is a crucial step in learning to parse images into part-whole hierarchies. If we start with point clouds, we can do it!",geoffreyhinton,Geoffrey Hinton,974,12,181,10
https://twitter.com/taiyasaki/status/1333474402235609088#m,"Our new paper ""𝐔𝐧𝐬𝐮𝐩𝐞𝐫𝐯𝐢𝐬𝐞𝐝 𝐩𝐚𝐫𝐭 𝐫𝐞𝐩𝐫𝐞𝐬𝐞𝐧𝐭𝐚𝐭𝐢𝐨𝐧 𝐛𝐲 𝐅𝐥𝐨𝐰 𝐂𝐚𝐩𝐬𝐮𝐥𝐞𝐬"" is out https://arxiv.org/abs/2011.13920  TL;DR: are newborns exposed to 14 million (i.e. ImageNet) labeled images? No! They learn by observing motion... in an unsupervised fashion",geoffreyhinton,Andrea Tagliasacchi 🇨🇦🏔️,345,8,64,6
https://twitter.com/A_Paccanaro/status/1304431040728096770#m,"Read my latest #research on #MachineLearning applied to #DrugSideEffectsPrediction, published with @SpringerNature in @NatureComms together with my brilliant PhD student @diegogaleano05 and  @shantaolee and @MarkGerstein https://www.nature.com/articles/s41467-020-18305-y",geoffreyhinton,Alberto Paccanaro,233,10,87,7
https://twitter.com/geoffreyhinton/status/1296599857638125568#m,"My wonderful former graduate student, Roland Memisevic, used neural networks to make a great fitness app:  https://www.cnbc.com/2020/08/20/twentybn-ally-microsoft-apple-amazon.html",geoffreyhinton,Geoffrey Hinton,602,10,85,10
https://twitter.com/taiyasaki/status/1296466812696240131#m,Source code and full talk for 𝗡𝗔𝗦𝗔: 𝗡𝗲𝘂𝗿𝗮𝗹 𝗔𝗿𝘁𝗶𝗰𝘂𝗹𝗮𝘁𝗲𝗱 𝗦𝗵𝗮𝗽𝗲 𝗔𝗽𝗽𝗿𝗼𝘅𝗶𝗺𝗮𝘁𝗶𝗼𝗻 is now available – links 👇👇  Talk @ #ECCV2020 → https://invidious.lunar.icu/-6e_46VuH8U Project page → nasa-eccv20.github.io Source code → https://github.com/tensorflow/graphics/tree/master/tensorflow_graphics/projects/nasa,geoffreyhinton,Andrea Tagliasacchi 🇨🇦🏔️,132,2,45,2
https://twitter.com/taiyasaki/status/1286006705722200064#m,"Do you like implicit functions to model 3D geometry? We show that ""Neural Articulated Shape Approximation"" improves the approximation power by over 50% ABSOLUTE!!  Fast-forward of our #ECCV paper, full talk, additional material, and code comings soon.  https://arxiv.org/abs/1912.03207",geoffreyhinton,Andrea Tagliasacchi 🇨🇦🏔️,265,2,66,3
https://twitter.com/geoffreyhinton/status/1273686900285603843#m,A non-linearity that works much better than ReLUs. The work described in this video might also be relevant to understanding grid cells. https://invidious.lunar.icu/watch?v=Q2fLWGBeaiI&feature=invidious.lunar.icu,geoffreyhinton,Geoffrey Hinton,2813,74,723,44
https://twitter.com/geoffreyhinton/status/1273328639673806851#m,"I thought I had a very good idea about perceptual learning and accepted several invitations to give talks about it next week.  But I have just discovered a fatal flaw in the idea, so I am cancelling all those talks. I apologize.",geoffreyhinton,Geoffrey Hinton,6137,172,404,116
https://twitter.com/geoffreyhinton/status/1270814602931187715#m,"Extrapolating the spectacular performance of GPT3 into the future suggests that the answer to life, the universe and everything is just 4.398 trillion parameters.",geoffreyhinton,Geoffrey Hinton,3885,86,670,66
https://twitter.com/geoffreyhinton/status/1258143109344624643#m,My friend @Jordanjacobs10 of @RadicalVCFund asked what I thought of the @covariantAI team and technology. I told him I had made a rather small investment (I don't want to reinforce reinforcement learning) but now wished I had invested 100X more. So Radical did (and then some).,geoffreyhinton,Geoffrey Hinton,486,3,56,12
https://twitter.com/taiyasaki/status/1173615478679461894#m,Do you need differentiable convex hulls? Take a look at our CvxNet work https://arxiv.org/abs/1909.05736,geoffreyhinton,Andrea Tagliasacchi 🇨🇦🏔️,183,4,50,5
https://twitter.com/geoffreyhinton/status/1253517893540732928#m,This is a really neat way of using neural networks to get rid of polygonal meshes. The interaction of computer graphics with neural networks is really exciting.,geoffreyhinton,Geoffrey Hinton,983,11,210,12
https://twitter.com/taiyasaki/status/1239992952144957441#m,"NASA: Neural Articulated Shape Approximation  Representing characters and deformable shapes without polygonal meshes for 3D perception, games, ...  https://arxiv.org/pdf/1912.03207.pdf",geoffreyhinton,Andrea Tagliasacchi 🇨🇦🏔️,345,8,74,7
https://twitter.com/geoffreyhinton/status/1253515367223361542#m,The sequence modeling group at the Toronto lab of Google Research has some really impressive new work on generating the words in a sequence in parallel. Imputers rock!,geoffreyhinton,Geoffrey Hinton,221,1,50,1
https://twitter.com/geoffreyhinton/status/1253513902614360065#m,This is really nice work,geoffreyhinton,Geoffrey Hinton,200,3,29,2
https://twitter.com/geoffreyhinton/status/1242635161520439298#m,Shooting someone on Fifth Avenue and getting away with it seems like a minor indiscretion compared with killing thousands of New Yorkers by refusing to order the manufacture of ventilators.,geoffreyhinton,Geoffrey Hinton,1647,11,253,28
https://twitter.com/geoffreyhinton/status/1242288208093818882#m,I was not far off!  Data from @StanfordEng Professors @yicuistanford  & Steven Chu show #N95masks can be decontaminated without decreasing filtration efficiency using 70C heat for 30 min. Alcohol & bleach should not be used.,geoffreyhinton,Geoffrey Hinton,260,14,43,14
https://twitter.com/AmyPricePhD/status/1241924103013007362#m,Data from @StanfordEng Professors  @yicuistanford & Steven Chu show #N95masks can be decontaminated without decreasing filtration efficiency using 70C heat for 30 min. Alcohol & bleach should not be used.   @hmkyale @DermHAG @mike_mitt https://aim.stanford.edu/covid-19-evidence-service/,geoffreyhinton,Dr. Amy Price,219,34,170,14
https://twitter.com/geoffreyhinton/status/1242185432022110209#m,Students at U. Toronto have a website https://flatten.ca/  for people in the Greater Toronto Area to report symptoms of COVID-19. The reported numbers of likely positive cases and vulnerable individuals are displayed for each region defined by the first half of the postcode.,geoffreyhinton,Geoffrey Hinton,388,19,161,14
https://twitter.com/geoffreyhinton/status/1239693060763770883#m,"I have one N95 mask. After using, I put it in a plastic bag, wash my hands and bake at 170F for 2 hours. My guess is that a half-baked mask is better than none. I would love to know whether baking at 170F reliably kills COVID-19 and whether it degrades the filtering by the mask.",geoffreyhinton,Geoffrey Hinton,1117,17,97,123
https://twitter.com/tingchenai/status/1238524061233397760#m,"Happy to share that we've open-sourced both the code and pretrained models for SimCLR (a simple framework for contrastive learning of visual representations): https://github.com/google-research/simclr  joint work with @skornblith, @mo_norouzi and @geoffreyhinton.",geoffreyhinton,Ting Chen,271,2,74,4
https://twitter.com/geoffreyhinton/status/1234926905746493440#m,"Organizers of data science and machine learning conferences (NeurIPS, ICML, AISTATS, ICLR, UAI, ...): Allow remote paper & poster presentations at conferences - Sign the Petition! chng.it/p8QMVkp7 via @Change",geoffreyhinton,Geoffrey Hinton,914,33,280,14
https://twitter.com/geoffreyhinton/status/1230592238490615816#m,Suppose you have cancer and you have to choose between a black box AI surgeon that cannot explain how it works but has a 90% cure rate and a human surgeon with an 80% cure rate. Do you want the AI surgeon to be illegal?,geoffreyhinton,Geoffrey Hinton,4855,569,1070,738
https://twitter.com/geoffreyhinton/status/1228445976924475398#m,Unsupervised learning of representations is beginning to work quite well without requiring reconstruction.,geoffreyhinton,Geoffrey Hinton,2021,16,507,14
https://twitter.com/arkosiorek/status/1194765816023199744#m,"We've just open-sourced the code for Stacked Capsule Autoencoders (NeurIPS '19): https://github.com/google-research/google-research/tree/master/stacked_capsule_autoencoders  joint work with @sabour_sara, @yeewhye and @geoffreyhinton",geoffreyhinton,Adam R. Kosiorek @neurips,662,4,170,8
https://twitter.com/geoffreyhinton/status/1153352658608099334#m,This is a much better version of capsules.,geoffreyhinton,Geoffrey Hinton,2110,11,538,16
https://twitter.com/ylecun/status/1142761360780144645#m,"This report on Trump's concentration camps for migrant children is absolutely horrifying. Conditions are unsanitary and unsafe.  Children, toddlers, infants are dying of purposeful neglect. This is a... https://www.nytimes.com/2019/06/21/us/migrant-children-border-soap.html",geoffreyhinton,Yann LeCun,228,4,72,17
https://twitter.com/geoffreyhinton/status/1119795889843789824#m,Inman is always thought-provoking.,geoffreyhinton,Geoffrey Hinton,189,2,45,4
https://twitter.com/geoffreyhinton/status/1110962177903640582#m,"The X factor:  When I was an undergrad at Kings College Cambridge, Les Valiant who won the Turing award in 2010 lived in the adjacent room on X staircase.  He just told me that Turing lived on X staircase when he was a fellow at Kings and probably wrote his 1936 paper there!",geoffreyhinton,Geoffrey Hinton,3472,41,458,56
https://twitter.com/geoffreyhinton/status/1099057502698815488#m,Some new work from the brain team in Toronto @rishabh_467 @Mo_Norouzi,geoffreyhinton,Geoffrey Hinton,423,2,93,5
https://twitter.com/VectorInst/status/1091383565294714880#m,Vector Institute is offering scholarships to top candidates applying to AI Master’s Programs.  Learn more vectorinstitute.ai/aimasters…,geoffreyhinton,Vector Institute,144,4,80,4
https://twitter.com/geoffreyhinton/status/1085325734044991489#m,"My Coursera MOOC ""Neural Networks for Machine Learning"" was prepared in 2012 and is now seriously out of date so I have asked them to discontinue the course. But the lectures are still a good introduction to many of the basic ideas and are available at https://www.cs.toronto.edu/~hinton/coursera_lectures.html",geoffreyhinton,Geoffrey Hinton,2485,47,511,54
https://twitter.com/geoffreyhinton/status/1084939865559629830#m,"The Google Brain team in Toronto has openings for several research scientists who have already made exceptional contributions to research on deep learning or its applications in NLP, vision, or reinforcement learning.  To apply, go to  https://careers.google.com/jobs/results/6264190289117184",geoffreyhinton,Geoffrey Hinton,1099,61,338,23
